Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0002,
Horizontal Delay,-7e-05,
Sample Interval,2e-07,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.05,1
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.0428e-03,-0.0244609,-0.710625
-1.0426e-03,-0.0245469,-0.719219
-1.0424e-03,-0.0241719,-0.710938
-1.0422e-03,-0.0237969,-0.712031
-1.0420e-03,-0.0236875,-0.722656
-1.0418e-03,-0.0233359,-0.718594
-1.0416e-03,-0.0233906,-0.721406
-1.0414e-03,-0.0228828,-0.718594
-1.0412e-03,-0.0228594,-0.725625
-1.0410e-03,-0.0227812,-0.729375
-1.0408e-03,-0.0225312,-0.734063
-1.0406e-03,-0.0222344,-0.733906
-1.0404e-03,-0.0225156,-0.737187
-1.0402e-03,-0.0223594,-0.729063
-1.0400e-03,-0.0222891,-0.732812
-1.0398e-03,-0.0223516,-0.741719
-1.0396e-03,-0.0223906,-0.744062
-1.0394e-03,-0.0221875,-0.747031
-1.0392e-03,-0.0223047,-0.744688
-1.0390e-03,-0.022,-0.750469
-1.0388e-03,-0.0223516,-0.746563
-1.0386e-03,-0.0216484,-0.751719
-1.0384e-03,-0.0217813,-0.757188
-1.0382e-03,-0.0216406,-0.755938
-1.0380e-03,-0.0215234,-0.752812
-1.0378e-03,-0.0216016,-0.752969
-1.0376e-03,-0.0210703,-0.760313
-1.0374e-03,-0.0210313,-0.762344
-1.0372e-03,-0.0209922,-0.766563
-1.0370e-03,-0.0207969,-0.766406
-1.0368e-03,-0.0210234,-0.766406
-1.0366e-03,-0.0207891,-0.766875
-1.0364e-03,-0.0202344,-0.777969
-1.0362e-03,-0.0204844,-0.767344
-1.0360e-03,-0.0195781,-0.774062
-1.0358e-03,-0.0200313,-0.775938
-1.0356e-03,-0.0201172,-0.787344
-1.0354e-03,-0.019875,-0.780625
-1.0352e-03,-0.0197109,-0.788281
-1.0350e-03,-0.0194609,-0.785938
-1.0348e-03,-0.0196172,-0.788125
-1.0346e-03,-0.0198203,-0.795
-1.0344e-03,-0.0193437,-0.792656
-1.0342e-03,-0.0190781,-0.795937
-1.0340e-03,-0.0192656,-0.800937
-1.0338e-03,-0.0185781,-0.803125
-1.0336e-03,-0.0186172,-0.802656
-1.0334e-03,-0.0182891,-0.803438
-1.0332e-03,-0.0179922,-0.807188
-1.0330e-03,-0.0177344,-0.805625
-1.0328e-03,-0.0179688,-0.810937
-1.0326e-03,-0.0182891,-0.815312
-1.0324e-03,-0.0182656,-0.81625
-1.0322e-03,-0.0177656,-0.810156
-1.0320e-03,-0.0175938,-0.819688
-1.0318e-03,-0.0178906,-0.825156
-1.0316e-03,-0.0169453,-0.815312
-1.0314e-03,-0.0173359,-0.831719
-1.0312e-03,-0.0174453,-0.830313
-1.0310e-03,-0.0171406,-0.835469
-1.0308e-03,-0.0166875,-0.832344
-1.0306e-03,-0.0166172,-0.839688
-1.0304e-03,-0.016625,-0.835625
-1.0302e-03,-0.0168828,-0.845156
-1.0300e-03,-0.017,-0.837187
-1.0298e-03,-0.0165469,-0.84625
-1.0296e-03,-0.0165781,-0.843281
-1.0294e-03,-0.0165781,-0.853594
-1.0292e-03,-0.0159609,-0.853906
-1.0290e-03,-0.0160781,-0.855156
-1.0288e-03,-0.0160234,-0.859531
-1.0286e-03,-0.0152578,-0.861719
-1.0284e-03,-0.0157656,-0.860938
-1.0282e-03,-0.01525,-0.865313
-1.0280e-03,-0.0153828,-0.863437
-1.0278e-03,-0.0150859,-0.863906
-1.0276e-03,-0.0151953,-0.859688
-1.0274e-03,-0.0147031,-0.869063
-1.0272e-03,-0.0140625,-0.872344
-1.0270e-03,-0.0143359,-0.870313
-1.0268e-03,-0.0142656,-0.87375
-1.0266e-03,-0.0141016,-0.877031
-1.0264e-03,-0.0140781,-0.883437
-1.0262e-03,-0.0137891,-0.886094
-1.0260e-03,-0.0138047,-0.885
-1.0258e-03,-0.0140391,-0.889531
-1.0256e-03,-0.0140078,-0.89
-1.0254e-03,-0.0136641,-0.887656
-1.0252e-03,-0.013625,-0.890781
-1.0250e-03,-0.0132891,-0.891094
-1.0248e-03,-0.0135937,-0.900625
-1.0246e-03,-0.0130078,-0.902969
-1.0244e-03,-0.0131172,-0.899219
-1.0242e-03,-0.0124063,-0.895938
-1.0240e-03,-0.0123516,-0.906406
-1.0238e-03,-0.0117344,-0.906563
-1.0236e-03,-0.0118984,-0.907031
-1.0234e-03,-0.0121016,-0.913594
-1.0232e-03,-0.0118984,-0.92
-1.0230e-03,-0.0124688,-0.916094
-1.0228e-03,-0.0119922,-0.9175
-1.0226e-03,-0.0120234,-0.925312
-1.0224e-03,-0.0120859,-0.921094
-1.0222e-03,-0.012,-0.925156
-1.0220e-03,-0.0117266,-0.924687
-1.0218e-03,-0.0115703,-0.927344
-1.0216e-03,-0.0115234,-0.929531
-1.0214e-03,-0.0117734,-0.934688
-1.0212e-03,-0.0110469,-0.928438
-1.0210e-03,-0.0107891,-0.930156
-1.0208e-03,-0.0113125,-0.935469
-1.0206e-03,-0.0111953,-0.942344
-1.0204e-03,-0.0107031,-0.944219
-1.0202e-03,-0.00997656,-0.948125
-1.0200e-03,-0.00992188,-0.946875
-1.0198e-03,-0.0101484,-0.947188
-1.0196e-03,-0.00992969,-0.959063
-1.0194e-03,-0.00971875,-0.953594
-1.0192e-03,-0.00939844,-0.946094
-1.0190e-03,-0.00948437,-0.952656
-1.0188e-03,-0.00938281,-0.957344
-1.0186e-03,-0.0100703,-0.95625
-1.0184e-03,-0.00903906,-0.961406
-1.0182e-03,-0.00923437,-0.956406
-1.0180e-03,-0.00917969,-0.964219
-1.0178e-03,-0.00914844,-0.962031
-1.0176e-03,-0.00932812,-0.964531
-1.0174e-03,-0.00914844,-0.967031
-1.0172e-03,-0.00889844,-0.974063
-1.0170e-03,-0.00848438,-0.972187
-1.0168e-03,-0.00875781,-0.975
-1.0166e-03,-0.00855469,-0.982812
-1.0164e-03,-0.00801563,-0.985156
-1.0162e-03,-0.00828906,-0.982187
-1.0160e-03,-0.00842188,-0.980625
-1.0158e-03,-0.00813281,-0.998906
-1.0156e-03,-0.00785156,-0.990781
-1.0154e-03,-0.00771094,-0.988594
-1.0152e-03,-0.00761719,-1
-1.0150e-03,-0.00765625,-0.996563
-1.0148e-03,-0.006875,-0.99875
-1.0146e-03,-0.00753125,-1.00422
-1.0144e-03,-0.00683594,-1.00672
-1.0142e-03,-0.00653906,-1.00422
-1.0140e-03,-0.00702344,-1.01
-1.0138e-03,-0.00689844,-0.996563
-1.0136e-03,-0.00685938,-1.01469
-1.0134e-03,-0.00713281,-1.00656
-1.0132e-03,-0.00639844,-1.01906
-1.0130e-03,-0.00614063,-1.01516
-1.0128e-03,-0.0060625,-1.01719
-1.0126e-03,-0.00625781,-1.01984
-1.0124e-03,-0.00614844,-1.02297
-1.0122e-03,-0.00604688,-1.01875
-1.0120e-03,-0.00574219,-1.02234
-1.0118e-03,-0.00529688,-1.02609
-1.0116e-03,-0.00510938,-1.02609
-1.0114e-03,-0.00509375,-1.03313
-1.0112e-03,-0.00477344,-1.04156
-1.0110e-03,-0.00479687,-1.03547
-1.0108e-03,-0.00467187,-1.03594
-1.0106e-03,-0.00446875,-1.04375
-1.0104e-03,-0.00473437,-1.04203
-1.0102e-03,-0.00403125,-1.03812
-1.0100e-03,-0.00434375,-1.04656
-1.0098e-03,-0.00442188,-1.04578
-1.0096e-03,-0.004,-1.04328
-1.0094e-03,-0.0038125,-1.05109
-1.0092e-03,-0.00373438,-1.05188
-1.0090e-03,-0.00396094,-1.04766
-1.0088e-03,-0.00382031,-1.04922
-1.0086e-03,-0.00366406,-1.06047
-1.0084e-03,-0.0038125,-1.06641
-1.0082e-03,-0.00344531,-1.05531
-1.0080e-03,-0.00307813,-1.05141
-1.0078e-03,-0.00319531,-1.06609
-1.0076e-03,-0.00289062,-1.06234
-1.0074e-03,-0.00271875,-1.06422
-1.0072e-03,-0.00294531,-1.0725
-1.0070e-03,-0.00273438,-1.06844
-1.0068e-03,-0.00249219,-1.075
-1.0066e-03,-0.00245313,-1.07
-1.0064e-03,-0.00207031,-1.08203
-1.0062e-03,-0.00247656,-1.07234
-1.0060e-03,-0.00222656,-1.08078
-1.0058e-03,-0.00196875,-1.08406
-1.0056e-03,-0.002,-1.08109
-1.0054e-03,-0.00164844,-1.08813
-1.0052e-03,-0.00148438,-1.09922
-1.0050e-03,-0.00157813,-1.08625
-1.0048e-03,-0.00145312,-1.09172
-1.0046e-03,-0.00147656,-1.08766
-1.0044e-03,-0.00159375,-1.09703
-1.0042e-03,-0.0011875,-1.1
-1.0040e-03,-0.00135156,-1.10266
-1.0038e-03,-0.00129688,-1.10172
-1.0036e-03,-0.00119531,-1.10234
-1.0034e-03,-0.00125,-1.10109
-1.0032e-03,-0.00116406,-1.10813
-1.0030e-03,-0.000796875,-1.11203
-1.0028e-03,-0.000632813,-1.11719
-1.0026e-03,-0.00040625,-1.11125
-1.0024e-03,-0.000421875,-1.12
-1.0022e-03,-0.000148437,-1.11797
-1.0020e-03,-7.8125e-06,-1.11906
-1.0018e-03,0.000273438,-1.12766
-1.0016e-03,3.90625e-05,-1.11594
-1.0014e-03,0.0004375,-1.12641
-1.0012e-03,0.000492188,-1.13
-1.0010e-03,0.000539063,-1.1275
-1.0008e-03,0.000382813,-1.13813
-1.0006e-03,-3.125e-05,-1.13422
-1.0004e-03,0.000515625,-1.14141
-1.0002e-03,0.00046875,-1.13594
-1.0000e-03,0.00034375,-1.13625
-9.9980e-04,0.000445313,-1.14172
-9.9960e-04,0.000648438,-1.14453
-9.9940e-04,0.000625,-1.14703
-9.9920e-04,0.000554688,-1.14484
-9.9900e-04,0.00124219,-1.14953
-9.9880e-04,0.00153906,-1.14797
-9.9860e-04,0.0018125,-1.14969
-9.9840e-04,0.00120312,-1.15406
-9.9820e-04,0.00205469,-1.15703
-9.9800e-04,0.00177344,-1.15484
-9.9780e-04,0.00194531,-1.15563
-9.9760e-04,0.00213281,-1.16312
-9.9740e-04,0.00228125,-1.16109
-9.9720e-04,0.00213281,-1.16625
-9.9700e-04,0.00252344,-1.15734
-9.9680e-04,0.0024375,-1.17734
-9.9660e-04,0.00265625,-1.16844
-9.9640e-04,0.00226562,-1.17109
-9.9620e-04,0.00265625,-1.17734
-9.9600e-04,0.00253906,-1.18156
-9.9580e-04,0.00286719,-1.17719
-9.9560e-04,0.00274219,-1.1775
-9.9540e-04,0.00335937,-1.17547
-9.9520e-04,0.00313281,-1.17641
-9.9500e-04,0.00289844,-1.18469
-9.9480e-04,0.003375,-1.18203
-9.9460e-04,0.00335937,-1.18609
-9.9440e-04,0.0035,-1.18656
-9.9420e-04,0.003875,-1.18797
-9.9400e-04,0.00465625,-1.19234
-9.9380e-04,0.00403125,-1.19328
-9.9360e-04,0.00410938,-1.1875
-9.9340e-04,0.00417969,-1.19266
-9.9320e-04,0.00428125,-1.19234
-9.9300e-04,0.00457812,-1.19953
-9.9280e-04,0.00515625,-1.20578
-9.9260e-04,0.00471875,-1.20484
-9.9240e-04,0.00486719,-1.20266
-9.9220e-04,0.00500781,-1.20797
-9.9200e-04,0.0054375,-1.20516
-9.9180e-04,0.00523438,-1.20531
-9.9160e-04,0.00567969,-1.21469
-9.9140e-04,0.0045625,-1.21375
-9.9120e-04,0.00541406,-1.2075
-9.9100e-04,0.00540625,-1.21297
-9.9080e-04,0.00542969,-1.2125
-9.9060e-04,0.00571094,-1.21672
-9.9040e-04,0.0061875,-1.22375
-9.9020e-04,0.0060625,-1.22281
-9.9000e-04,0.00638281,-1.21953
-9.8980e-04,0.006625,-1.22313
-9.8960e-04,0.00645313,-1.22703
-9.8940e-04,0.00659375,-1.22609
-9.8920e-04,0.00692969,-1.23141
-9.8900e-04,0.00732031,-1.23422
-9.8880e-04,0.00692969,-1.22594
-9.8860e-04,0.00653906,-1.23313
-9.8840e-04,0.00722656,-1.24328
-9.8820e-04,0.00775,-1.23703
-9.8800e-04,0.00771875,-1.2425
-9.8780e-04,0.00746875,-1.23922
-9.8760e-04,0.00780469,-1.24625
-9.8740e-04,0.00771094,-1.23953
-9.8720e-04,0.00803906,-1.24844
-9.8700e-04,0.00867969,-1.24578
-9.8680e-04,0.00777344,-1.26063
-9.8660e-04,0.00844531,-1.24687
-9.8640e-04,0.00828125,-1.25484
-9.8620e-04,0.00853125,-1.25141
-9.8600e-04,0.0086875,-1.25375
-9.8580e-04,0.00878125,-1.25875
-9.8560e-04,0.00851563,-1.25781
-9.8540e-04,0.00932812,-1.26141
-9.8520e-04,0.00920312,-1.26438
-9.8500e-04,0.00903125,-1.26578
-9.8480e-04,0.0095,-1.25984
-9.8460e-04,0.0102734,-1.25469
-9.8440e-04,0.0102578,-1.27406
-9.8420e-04,0.0102656,-1.26719
-9.8400e-04,0.0102813,-1.26391
-9.8380e-04,0.00990625,-1.27266
-9.8360e-04,0.0105938,-1.27219
-9.8340e-04,0.0105234,-1.27188
-9.8320e-04,0.0104609,-1.27203
-9.8300e-04,0.0104297,-1.27609
-9.8280e-04,0.0105781,-1.27734
-9.8260e-04,0.0107656,-1.27953
-9.8240e-04,0.0105313,-1.28313
-9.8220e-04,0.0106406,-1.28063
-9.8200e-04,0.0109297,-1.28547
-9.8180e-04,0.0106484,-1.28281
-9.8160e-04,0.0111875,-1.2825
-9.8140e-04,0.0110937,-1.28734
-9.8120e-04,0.0111953,-1.29281
-9.8100e-04,0.0122109,-1.2875
-9.8080e-04,0.0122891,-1.29078
-9.8060e-04,0.0120391,-1.29109
-9.8040e-04,0.0127813,-1.29281
-9.8020e-04,0.0124141,-1.29672
-9.8000e-04,0.0127578,-1.29234
-9.7980e-04,0.0128359,-1.29203
-9.7960e-04,0.0127813,-1.295
-9.7940e-04,0.0133437,-1.2975
-9.7920e-04,0.0127188,-1.30891
-9.7900e-04,0.0132734,-1.30094
-9.7880e-04,0.0124219,-1.30859
-9.7860e-04,0.0131797,-1.30094
-9.7840e-04,0.0129141,-1.30812
-9.7820e-04,0.01375,-1.30266
-9.7800e-04,0.0134922,-1.30641
-9.7780e-04,0.0138203,-1.31531
-9.7760e-04,0.0139766,-1.31453
-9.7740e-04,0.0140313,-1.31203
-9.7720e-04,0.0142891,-1.32172
-9.7700e-04,0.0141172,-1.32344
-9.7680e-04,0.0144609,-1.32578
-9.7660e-04,0.0145,-1.32078
-9.7640e-04,0.0146406,-1.32828
-9.7620e-04,0.0152344,-1.32047
-9.7600e-04,0.0153984,-1.32563
-9.7580e-04,0.0151094,-1.32953
-9.7560e-04,0.0149453,-1.32344
-9.7540e-04,0.0152969,-1.32594
-9.7520e-04,0.0156406,-1.33
-9.7500e-04,0.0158438,-1.33563
-9.7480e-04,0.0157031,-1.33141
-9.7460e-04,0.0156406,-1.33344
-9.7440e-04,0.0160391,-1.33953
-9.7420e-04,0.0163281,-1.33859
-9.7400e-04,0.0162422,-1.34547
-9.7380e-04,0.0161563,-1.33578
-9.7360e-04,0.0164375,-1.34406
-9.7340e-04,0.0165859,-1.33766
-9.7320e-04,0.0162656,-1.34641
-9.7300e-04,0.0171719,-1.34953
-9.7280e-04,0.0172344,-1.34922
-9.7260e-04,0.0171797,-1.34922
-9.7240e-04,0.0175469,-1.35734
-9.7220e-04,0.0171641,-1.34937
-9.7200e-04,0.0178047,-1.35531
-9.7180e-04,0.0180859,-1.35734
-9.7160e-04,0.0174922,-1.34953
-9.7140e-04,0.0180469,-1.35641
-9.7120e-04,0.0179219,-1.36391
-9.7100e-04,0.0182109,-1.36531
-9.7080e-04,0.0183906,-1.36469
-9.7060e-04,0.0185,-1.37047
-9.7040e-04,0.0185625,-1.36953
-9.7020e-04,0.0189297,-1.3675
-9.7000e-04,0.0182969,-1.3725
-9.6980e-04,0.0188047,-1.37594
-9.6960e-04,0.0193594,-1.36953
-9.6940e-04,0.0190937,-1.36844
-9.6920e-04,0.0191641,-1.37859
-9.6900e-04,0.0192578,-1.37953
-9.6880e-04,0.0193984,-1.36953
-9.6860e-04,0.0195391,-1.38141
-9.6840e-04,0.0200625,-1.38359
-9.6820e-04,0.0199922,-1.38547
-9.6800e-04,0.0197891,-1.38344
-9.6780e-04,0.0202891,-1.38797
-9.6760e-04,0.0206875,-1.39187
-9.6740e-04,0.0204609,-1.38266
-9.6720e-04,0.0203828,-1.38484
-9.6700e-04,0.0209063,-1.38484
-9.6680e-04,0.0210547,-1.38516
-9.6660e-04,0.0212344,-1.39406
-9.6640e-04,0.0212031,-1.39781
-9.6620e-04,0.0209219,-1.39516
-9.6600e-04,0.0212656,-1.39859
-9.6580e-04,0.0217344,-1.39125
-9.6560e-04,0.0218594,-1.40281
-9.6540e-04,0.0219922,-1.39906
-9.6520e-04,0.0218828,-1.40187
-9.6500e-04,0.022,-1.39766
-9.6480e-04,0.0214688,-1.39328
-9.6460e-04,0.0218594,-1.40016
-9.6440e-04,0.0220703,-1.40203
-9.6420e-04,0.0225234,-1.40859
-9.6400e-04,0.0222344,-1.41094
-9.6380e-04,0.0227031,-1.40641
-9.6360e-04,0.0223672,-1.40406
-9.6340e-04,0.0224297,-1.41141
-9.6320e-04,0.0229844,-1.40844
-9.6300e-04,0.0230547,-1.41781
-9.6280e-04,0.0236328,-1.41531
-9.6260e-04,0.0237578,-1.41859
-9.6240e-04,0.0238125,-1.41328
