time	V(n002)	V(n003)
1.170915459653833e-04	-8.453962e+00	-7.500000e+00
1.200212334653833e-04	-7.516744e+00	-7.500000e+00
1.229509209653833e-04	-6.579733e+00	-7.500000e+00
1.254620816796690e-04	-5.773652e+00	-7.500000e+00
1.279732423939547e-04	-4.966571e+00	-7.500000e+00
1.304844031082404e-04	-4.158492e+00	-7.500000e+00
1.329955638225261e-04	-3.349415e+00	-7.500000e+00
1.355067245368118e-04	-2.539339e+00	-7.500000e+00
1.380178852510976e-04	-1.728265e+00	-7.500000e+00
1.405290459653833e-04	-9.161927e-01	-7.500000e+00
1.429006977510975e-04	-1.495347e-01	-7.500000e+00
1.452723495368118e-04	6.172428e-01	-7.500000e+00
1.476440013225261e-04	1.384140e+00	-7.500000e+00
1.500156531082404e-04	2.151157e+00	-7.500000e+00
1.523873048939547e-04	2.918293e+00	-7.500000e+00
1.547589566796690e-04	3.685549e+00	-7.500000e+00
1.571306084653833e-04	4.452925e+00	-7.500000e+00
1.854509209653833e-04	1.360016e+01	-7.500000e+00
1.864274834653833e-04	1.381196e+01	-7.500000e+00
1.874040459653833e-04	1.388592e+01	-7.500000e+00
2.000000000000000e-04	1.388938e+01	-7.500000e+00
2.000000044515625e-04	1.388975e+01	-7.433227e+00
2.000000046578125e-04	1.388976e+01	-7.430133e+00
2.000000049328125e-04	1.388978e+01	-7.426008e+00
2.000000054828125e-04	1.388982e+01	-7.417758e+00
2.000000065828125e-04	1.388989e+01	-7.401258e+00
2.000000087828125e-04	1.389001e+01	-7.368258e+00
2.000000131828126e-04	1.389026e+01	-7.302258e+00
2.000010000000000e-04	1.395677e+01	7.500000e+00
2.000010021328243e-04	1.395667e+01	7.500000e+00
2.000010026660303e-04	1.395665e+01	7.500000e+00
2.000010027993319e-04	1.395664e+01	7.500000e+00
2.000010028326573e-04	1.395664e+01	7.500000e+00
2.000010028993080e-04	1.395664e+01	7.500000e+00
2.000010029159707e-04	1.395664e+01	7.500000e+00
2.000010029492961e-04	1.395664e+01	7.500000e+00
2.000010029576274e-04	1.395664e+01	7.500000e+00
2.000010029742901e-04	1.395664e+01	7.500000e+00
2.000010030076155e-04	1.395664e+01	7.500000e+00
2.000010030742663e-04	1.395664e+01	7.500000e+00
2.000015373493083e-04	1.395423e+01	7.500000e+00
2.000020716243502e-04	1.395132e+01	7.500000e+00
2.000026058993922e-04	1.394791e+01	7.500000e+00
2.000031401744342e-04	1.394401e+01	7.500000e+00
2.000036744494762e-04	1.393960e+01	7.500000e+00
2.000042087245182e-04	1.393470e+01	7.500000e+00
2.000047429995601e-04	1.392930e+01	7.500000e+00
2.000290928547054e-04	1.360559e+01	7.500000e+00
2.000569212605857e-04	1.331536e+01	7.500000e+00
2.000878984795569e-04	1.309187e+01	7.500000e+00
2.001169129620967e-04	1.295869e+01	7.500000e+00
2.001478784570057e-04	1.286821e+01	7.500000e+00
2.002095850403993e-04	1.277039e+01	7.500000e+00
2.002878842746260e-04	1.272477e+01	7.500000e+00
2.003661835088528e-04	1.268377e+01	7.500000e+00
2.004444827430796e-04	1.264740e+01	7.500000e+00
2.005227819773064e-04	1.261566e+01	7.500000e+00
2.006010812115332e-04	1.258854e+01	7.500000e+00
2.006793804457599e-04	1.256605e+01	7.500000e+00
2.007576796799867e-04	1.254819e+01	7.500000e+00
2.027861406478340e-04	1.189230e+01	7.500000e+00
2.048146016156813e-04	1.123739e+01	7.500000e+00
2.068430625835285e-04	1.058347e+01	7.500000e+00
2.088715235513758e-04	9.930529e+00	7.500000e+00
2.108999845192231e-04	9.278576e+00	7.500000e+00
2.129284454870704e-04	8.627609e+00	7.500000e+00
2.149569064549176e-04	7.977627e+00	7.500000e+00
2.178865939549176e-04	7.040983e+00	7.500000e+00
2.198397189549176e-04	6.415410e+00	7.500000e+00
2.217928439549176e-04	5.788964e+00	7.500000e+00
2.237459689549177e-04	5.161644e+00	7.500000e+00
2.256990939549177e-04	4.533450e+00	7.500000e+00
2.276522189549177e-04	3.904382e+00	7.500000e+00
2.296053439549177e-04	3.274441e+00	7.500000e+00
2.315584689549177e-04	2.643625e+00	7.500000e+00
2.351857010977748e-04	1.471784e+00	7.500000e+00
2.388129332406319e-04	2.996033e-01	7.500000e+00
2.424401653834891e-04	-8.729164e-01	7.500000e+00
2.460673975263462e-04	-2.045775e+00	7.500000e+00
2.496946296692033e-04	-3.218973e+00	7.500000e+00
2.533218618120605e-04	-4.392510e+00	7.500000e+00
