Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0004,
Horizontal Delay,0,
Sample Interval,4e-07,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.1,1
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.9372e-03,0.131641,1.94016
-1.9368e-03,0.131234,1.94484
-1.9364e-03,0.131531,1.93875
-1.9360e-03,0.131781,1.93609
-1.9356e-03,0.132156,1.94188
-1.9352e-03,0.131781,1.94578
-1.9348e-03,0.132719,1.94
-1.9344e-03,0.132938,1.93297
-1.9340e-03,0.132156,1.94484
-1.9336e-03,0.132516,1.94125
-1.9332e-03,0.13275,1.94031
-1.9328e-03,0.132938,1.9375
-1.9324e-03,0.133188,1.92984
-1.9320e-03,0.132969,1.94047
-1.9316e-03,0.133813,1.94531
-1.9312e-03,0.133625,1.93828
-1.9308e-03,0.133547,1.93891
-1.9304e-03,0.134031,1.94625
-1.9300e-03,0.133953,1.93938
-1.9296e-03,0.134453,1.94234
-1.9292e-03,0.133766,1.93641
-1.9288e-03,0.135203,1.94344
-1.9284e-03,0.134797,1.94219
-1.9280e-03,0.135141,1.93609
-1.9276e-03,0.135359,1.94547
-1.9272e-03,0.135688,1.94297
-1.9268e-03,0.135,1.94375
-1.9264e-03,0.135625,1.92828
-1.9260e-03,0.135563,1.94734
-1.9256e-03,0.135172,1.945
-1.9252e-03,0.135906,1.94078
-1.9248e-03,0.135781,1.94219
-1.9244e-03,0.135953,1.93359
-1.9240e-03,0.136469,1.93688
-1.9236e-03,0.136813,1.94875
-1.9232e-03,0.137469,1.93906
-1.9228e-03,0.136063,1.94859
-1.9224e-03,0.137422,1.94391
-1.9220e-03,0.137391,1.94828
-1.9216e-03,0.136484,1.94203
-1.9212e-03,0.137547,1.94781
-1.9208e-03,0.137063,1.93953
-1.9204e-03,0.138016,1.94063
-1.9200e-03,0.138016,1.94625
-1.9196e-03,0.138313,1.94484
-1.9192e-03,0.137844,1.95063
-1.9188e-03,0.138984,1.94016
-1.9184e-03,0.139172,1.9525
-1.9180e-03,0.139078,1.95047
-1.9176e-03,0.138813,1.94578
-1.9172e-03,0.139625,1.94016
-1.9168e-03,0.139422,1.94531
-1.9164e-03,0.139859,1.93656
-1.9160e-03,0.139125,1.93922
-1.9156e-03,0.139594,1.95141
-1.9152e-03,0.140344,1.94469
-1.9148e-03,0.140047,1.94828
-1.9144e-03,0.1405,1.94516
-1.9140e-03,0.140547,1.95
-1.9136e-03,0.14,1.95047
-1.9132e-03,0.140422,1.94344
-1.9128e-03,0.140344,1.95312
-1.9124e-03,0.140578,1.94641
-1.9120e-03,0.141203,1.9425
-1.9116e-03,0.140781,1.94984
-1.9112e-03,0.141391,1.94234
-1.9108e-03,0.140906,1.94422
-1.9104e-03,0.141047,1.955
-1.9100e-03,0.140859,1.94578
-1.9096e-03,0.141547,1.94688
-1.9092e-03,0.141422,1.94047
-1.9088e-03,0.141578,1.94016
-1.9084e-03,0.141063,1.94734
-1.9080e-03,0.142,1.94437
-1.9076e-03,0.141672,1.95219
-1.9072e-03,0.142516,1.94578
-1.9068e-03,0.141844,1.9425
-1.9064e-03,0.142828,1.94641
-1.9060e-03,0.143391,1.94125
-1.9056e-03,0.143625,1.94859
-1.9052e-03,0.143344,1.94828
-1.9048e-03,0.143484,1.94859
-1.9044e-03,0.143547,1.94531
-1.9040e-03,0.143156,1.94891
-1.9036e-03,0.142891,1.95156
-1.9032e-03,0.144203,1.95938
-1.9028e-03,0.145016,1.95094
-1.9024e-03,0.143797,1.95469
-1.9020e-03,0.142984,1.94203
-1.9016e-03,0.143219,1.95234
-1.9012e-03,0.143687,1.9475
-1.9008e-03,0.143547,1.95141
-1.9004e-03,0.144063,1.94703
-1.9000e-03,0.144313,1.94031
-1.8996e-03,0.143969,1.93188
-1.8992e-03,0.145,1.95391
-1.8988e-03,0.144953,1.9425
-1.8984e-03,0.143969,1.95281
-1.8980e-03,0.145391,1.94906
-1.8976e-03,0.144687,1.94281
-1.8972e-03,0.144266,1.9475
-1.8968e-03,0.144719,1.95078
-1.8964e-03,0.144797,1.94516
-1.8960e-03,0.145406,1.94344
-1.8956e-03,0.14575,1.94156
-1.8952e-03,0.145297,1.95078
-1.8948e-03,0.144625,1.94828
-1.8944e-03,0.144844,1.945
-1.8940e-03,0.145047,1.95047
-1.8936e-03,0.145844,1.94734
-1.8932e-03,0.146078,1.94719
-1.8928e-03,0.145703,1.94297
-1.8924e-03,0.145844,1.95984
-1.8920e-03,0.145656,1.94734
-1.8916e-03,0.146563,1.94109
-1.8912e-03,0.145344,1.94547
-1.8908e-03,0.146375,1.94719
-1.8904e-03,0.146234,1.94344
-1.8900e-03,0.146422,1.94422
-1.8896e-03,0.145859,1.94844
-1.8892e-03,0.146531,1.94375
-1.8888e-03,0.146406,1.95609
-1.8884e-03,0.146313,1.94156
-1.8880e-03,0.14725,1.94063
-1.8876e-03,0.146547,1.94422
-1.8872e-03,0.146203,1.95453
-1.8868e-03,0.147172,1.94859
-1.8864e-03,0.147031,1.95953
-1.8860e-03,0.146969,1.94172
-1.8856e-03,0.147437,1.95344
-1.8852e-03,0.147687,1.94359
-1.8848e-03,0.14725,1.94938
-1.8844e-03,0.147297,1.94266
-1.8840e-03,0.147141,1.95172
-1.8836e-03,0.147281,1.95156
-1.8832e-03,0.146609,1.95125
-1.8828e-03,0.147391,1.95094
-1.8824e-03,0.147469,1.95344
-1.8820e-03,0.148219,1.94344
-1.8816e-03,0.147734,1.94734
-1.8812e-03,0.148156,1.93844
-1.8808e-03,0.148203,1.94766
-1.8804e-03,0.147781,1.94766
-1.8800e-03,0.147547,1.95047
-1.8796e-03,0.148031,1.94453
-1.8792e-03,0.148203,1.94734
-1.8788e-03,0.147953,1.95078
-1.8784e-03,0.148109,1.95484
-1.8780e-03,0.148563,1.95266
-1.8776e-03,0.148609,1.95125
-1.8772e-03,0.14825,1.94422
-1.8768e-03,0.148297,1.94391
-1.8764e-03,0.149031,1.94688
-1.8760e-03,0.148359,1.94844
-1.8756e-03,0.149344,1.95266
-1.8752e-03,0.148406,1.94547
-1.8748e-03,0.148609,1.94578
-1.8744e-03,0.148297,1.95422
-1.8740e-03,0.14875,1.95156
-1.8736e-03,0.149266,1.94938
-1.8732e-03,0.148938,1.94016
-1.8728e-03,0.149484,1.95
-1.8724e-03,0.148953,1.95547
-1.8720e-03,0.148313,1.95172
-1.8716e-03,0.149938,1.95156
-1.8712e-03,0.148484,1.94703
-1.8708e-03,0.149313,1.95031
-1.8704e-03,0.1485,1.95547
-1.8700e-03,0.149063,1.95141
-1.8696e-03,0.1495,1.95281
-1.8692e-03,0.149594,1.94625
-1.8688e-03,0.14875,1.94703
-1.8684e-03,0.148906,1.94688
-1.8680e-03,0.149375,1.94562
-1.8676e-03,0.150203,1.95016
-1.8672e-03,0.149203,1.95578
-1.8668e-03,0.149672,1.94922
-1.8664e-03,0.148797,1.94641
-1.8660e-03,0.149172,1.94625
-1.8656e-03,0.149188,1.95656
-1.8652e-03,0.149313,1.94547
-1.8648e-03,0.148625,1.94484
-1.8644e-03,0.149344,1.95312
-1.8640e-03,0.149094,1.95172
-1.8636e-03,0.149406,1.94609
-1.8632e-03,0.149625,1.93969
-1.8628e-03,0.149141,1.95469
-1.8624e-03,0.149531,1.94516
-1.8620e-03,0.149125,1.94938
-1.8616e-03,0.148406,1.94797
-1.8612e-03,0.14975,1.94922
-1.8608e-03,0.148734,1.95016
-1.8604e-03,0.149516,1.95094
-1.8600e-03,0.149172,1.94922
-1.8596e-03,0.149109,1.94828
-1.8592e-03,0.148766,1.95312
-1.8588e-03,0.149063,1.95156
-1.8584e-03,0.149641,1.95703
-1.8580e-03,0.149047,1.94656
-1.8576e-03,0.148938,1.94219
-1.8572e-03,0.14925,1.95078
-1.8568e-03,0.148234,1.96
-1.8564e-03,0.14825,1.95734
-1.8560e-03,0.148719,1.95437
-1.8556e-03,0.14975,1.95141
-1.8552e-03,0.148844,1.95531
-1.8548e-03,0.149391,1.94109
-1.8544e-03,0.149469,1.94781
-1.8540e-03,0.148672,1.9525
-1.8536e-03,0.148828,1.95437
-1.8532e-03,0.148984,1.93609
-1.8528e-03,0.148828,1.94406
-1.8524e-03,0.149625,1.95312
-1.8520e-03,0.149594,1.95875
-1.8516e-03,0.148797,1.95031
-1.8512e-03,0.149313,1.94359
-1.8508e-03,0.149234,1.94609
-1.8504e-03,0.14825,1.94578
-1.8500e-03,0.148984,1.95328
-1.8496e-03,0.148844,1.95203
-1.8492e-03,0.148453,1.94719
-1.8488e-03,0.148766,1.9575
-1.8484e-03,0.148766,1.95172
-1.8480e-03,0.148469,1.94594
-1.8476e-03,0.148813,1.94516
-1.8472e-03,0.148703,1.94437
-1.8468e-03,0.149422,1.9475
-1.8464e-03,0.147922,1.94844
-1.8460e-03,0.148438,1.9525
-1.8456e-03,0.148641,1.94656
-1.8452e-03,0.148578,1.95344
-1.8448e-03,0.148594,1.94625
-1.8444e-03,0.148281,1.94453
-1.8440e-03,0.149031,1.94797
-1.8436e-03,0.148125,1.94688
-1.8432e-03,0.149094,1.93922
-1.8428e-03,0.148172,1.95031
-1.8424e-03,0.148531,1.95109
-1.8420e-03,0.148875,1.94766
-1.8416e-03,0.148031,1.94281
-1.8412e-03,0.149047,1.94875
-1.8408e-03,0.148016,1.94922
-1.8404e-03,0.148094,1.94312
-1.8400e-03,0.148531,1.95328
-1.8396e-03,0.149156,1.95312
-1.8392e-03,0.148453,1.94922
-1.8388e-03,0.147375,1.94219
-1.8384e-03,0.147844,1.94938
-1.8380e-03,0.148328,1.94328
-1.8376e-03,0.148469,1.94094
-1.8372e-03,0.148797,1.95
-1.8368e-03,0.148375,1.94688
-1.8364e-03,0.147422,1.94875
-1.8360e-03,0.148094,1.95156
-1.8356e-03,0.147375,1.94656
-1.8352e-03,0.147594,1.95234
-1.8348e-03,0.148375,1.95375
-1.8344e-03,0.148578,1.93891
-1.8340e-03,0.1485,1.94469
-1.8336e-03,0.148125,1.95016
-1.8332e-03,0.148125,1.95656
-1.8328e-03,0.148094,1.94547
-1.8324e-03,0.147516,1.95516
-1.8320e-03,0.147406,1.94688
-1.8316e-03,0.147391,1.95578
-1.8312e-03,0.147219,1.94625
-1.8308e-03,0.146937,1.94422
-1.8304e-03,0.146719,1.94953
-1.8300e-03,0.146781,1.95203
-1.8296e-03,0.146859,1.94578
-1.8292e-03,0.147078,1.94828
-1.8288e-03,0.147281,1.94875
-1.8284e-03,0.146156,1.95031
-1.8280e-03,0.147422,1.95031
-1.8276e-03,0.147,1.94859
-1.8272e-03,0.146031,1.95328
-1.8268e-03,0.147437,1.95172
-1.8264e-03,0.147,1.95688
-1.8260e-03,0.146141,1.94625
-1.8256e-03,0.146594,1.9525
-1.8252e-03,0.146594,1.95516
-1.8248e-03,0.145937,1.94422
-1.8244e-03,0.146406,1.945
-1.8240e-03,0.146141,1.94781
-1.8236e-03,0.146781,1.94656
-1.8232e-03,0.145719,1.95266
-1.8228e-03,0.145969,1.9475
-1.8224e-03,0.146016,1.94547
-1.8220e-03,0.146156,1.94453
-1.8216e-03,0.145437,1.94906
-1.8212e-03,0.145641,1.94578
-1.8208e-03,0.145187,1.94797
-1.8204e-03,0.145469,1.95
-1.8200e-03,0.145578,1.94906
-1.8196e-03,0.145359,1.9425
-1.8192e-03,0.145531,1.93984
-1.8188e-03,0.145047,1.94203
-1.8184e-03,0.145406,1.94875
-1.8180e-03,0.145313,1.94781
-1.8176e-03,0.144656,1.96
-1.8172e-03,0.144813,1.94047
-1.8168e-03,0.145484,1.95219
-1.8164e-03,0.144594,1.95125
-1.8160e-03,0.144328,1.95188
-1.8156e-03,0.143859,1.94547
-1.8152e-03,0.144187,1.94109
-1.8148e-03,0.143875,1.94969
-1.8144e-03,0.144563,1.94719
-1.8140e-03,0.143719,1.95203
-1.8136e-03,0.143656,1.94609
-1.8132e-03,0.143594,1.94594
-1.8128e-03,0.144234,1.94172
-1.8124e-03,0.143141,1.94625
-1.8120e-03,0.143422,1.95672
-1.8116e-03,0.1435,1.94719
-1.8112e-03,0.14275,1.94375
-1.8108e-03,0.143219,1.95281
-1.8104e-03,0.143266,1.94984
-1.8100e-03,0.142531,1.94797
-1.8096e-03,0.142,1.95031
-1.8092e-03,0.142516,1.95422
-1.8088e-03,0.142516,1.94891
-1.8084e-03,0.142016,1.93969
-1.8080e-03,0.141672,1.95375
-1.8076e-03,0.142531,1.95156
-1.8072e-03,0.1425,1.93828
-1.8068e-03,0.141297,1.94531
-1.8064e-03,0.141625,1.94109
-1.8060e-03,0.141047,1.94875
-1.8056e-03,0.141984,1.95969
-1.8052e-03,0.140953,1.95234
-1.8048e-03,0.1405,1.95281
-1.8044e-03,0.140422,1.94203
