Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-05,
Horizontal Delay,-8e-07,
Sample Interval,4e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,10
Vertical Position,-0.04,-0.06
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.9456e-04,7.62188,11.0312
-1.9452e-04,7.59219,11.0141
-1.9448e-04,7.62109,11.0656
-1.9444e-04,7.61563,11.0719
-1.9440e-04,7.62109,11.0969
-1.9436e-04,7.62188,11.0062
-1.9432e-04,7.61953,11.0594
-1.9428e-04,7.64922,11.0281
-1.9424e-04,7.60859,11.0672
-1.9420e-04,7.60859,11.0156
-1.9416e-04,7.63906,11.0594
-1.9412e-04,7.63984,10.9203
-1.9408e-04,7.62813,11.0281
-1.9404e-04,7.64766,10.9781
-1.9400e-04,7.65156,10.9281
-1.9396e-04,7.61484,10.8969
-1.9392e-04,7.59219,10.8484
-1.9388e-04,7.61563,10.9141
-1.9384e-04,7.58125,10.7781
-1.9380e-04,7.62031,10.7781
-1.9376e-04,7.62266,10.8063
-1.9372e-04,7.64219,10.7547
-1.9368e-04,7.65156,10.7984
-1.9364e-04,7.65391,10.6375
-1.9360e-04,7.60391,10.6672
-1.9356e-04,7.65,10.6625
-1.9352e-04,7.60859,10.5953
-1.9348e-04,7.62813,10.5016
-1.9344e-04,7.66875,10.5625
-1.9340e-04,7.62266,10.4719
-1.9336e-04,7.61016,10.4828
-1.9332e-04,7.57969,10.3516
-1.9328e-04,7.60859,10.2578
-1.9324e-04,7.575,10.2484
-1.9320e-04,7.6,10.2313
-1.9316e-04,7.61406,10.1797
-1.9312e-04,7.62969,10.1734
-1.9308e-04,7.60078,10.1344
-1.9304e-04,7.60469,10.1687
-1.9300e-04,7.65938,10.0781
-1.9296e-04,7.62188,10.1312
-1.9292e-04,7.60469,10.0156
-1.9288e-04,7.59688,10.0062
-1.9284e-04,7.60234,9.95312
-1.9280e-04,7.62578,9.90156
-1.9276e-04,7.57188,9.95
-1.9272e-04,7.60234,9.82656
-1.9268e-04,7.60781,9.86094
-1.9264e-04,7.60313,9.77031
-1.9260e-04,7.60703,9.80625
-1.9256e-04,7.61484,9.77812
-1.9252e-04,7.5875,9.72813
-1.9248e-04,7.58984,9.65469
-1.9244e-04,7.56875,9.71562
-1.9240e-04,7.57109,9.74219
-1.9236e-04,7.58125,9.69219
-1.9232e-04,7.57734,9.59375
-1.9228e-04,7.62188,9.66094
-1.9224e-04,7.58281,9.57812
-1.9220e-04,7.62344,9.54375
-1.9216e-04,7.62734,9.5875
-1.9212e-04,7.63438,9.50938
-1.9208e-04,7.56875,9.44688
-1.9204e-04,7.56797,9.45312
-1.9200e-04,7.59375,9.45156
-1.9196e-04,7.61953,9.37813
-1.9192e-04,7.58281,9.37187
-1.9188e-04,7.56797,9.38438
-1.9184e-04,7.59531,9.35938
-1.9180e-04,7.63125,9.38125
-1.9176e-04,7.60156,9.29844
-1.9172e-04,7.5875,9.25
-1.9168e-04,7.59609,9.26406
-1.9164e-04,7.6,9.24375
-1.9160e-04,7.59844,9.20156
-1.9156e-04,7.59141,9.22969
-1.9152e-04,7.58438,9.04219
-1.9148e-04,7.61094,9.075
-1.9144e-04,7.60313,9.08906
-1.9140e-04,7.57188,9.09219
-1.9136e-04,7.57344,9.06875
-1.9132e-04,7.56953,9.08437
-1.9128e-04,7.61172,9.01094
-1.9124e-04,7.58359,9.07031
-1.9120e-04,7.58203,8.96562
-1.9116e-04,7.58516,8.98438
-1.9112e-04,7.57578,8.85
-1.9108e-04,7.55781,8.90625
-1.9104e-04,7.57891,8.89687
-1.9100e-04,7.55391,8.8875
-1.9096e-04,7.55703,8.86719
-1.9092e-04,7.56484,8.70469
-1.9088e-04,7.56953,8.75469
-1.9084e-04,7.57656,8.74375
-1.9080e-04,7.57969,8.73125
-1.9076e-04,7.575,8.62813
-1.9072e-04,7.56563,8.76094
-1.9068e-04,7.57969,8.58125
-1.9064e-04,7.57031,8.60313
-1.9060e-04,7.57266,8.58125
-1.9056e-04,7.55078,8.59063
-1.9052e-04,7.55469,8.52344
-1.9048e-04,7.57422,8.46875
-1.9044e-04,7.57734,8.45937
-1.9040e-04,7.55859,8.44844
-1.9036e-04,7.5625,8.37656
-1.9032e-04,7.56172,8.42188
-1.9028e-04,7.57031,8.42031
