time	V(vd)	V(vd)*Id(M1)	Id(M1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	4.491302e-07
5.524459072508655e-13	9.115358e-05	3.669197e-11	4.025291e-07
1.657337721329080e-12	2.734607e-04	8.461383e-11	3.094186e-07
1.252956927764477e-10	2.067379e-02	-2.052304e-07	-9.927085e-06
2.489340478315662e-10	4.107411e-02	-8.157576e-07	-1.986062e-05
3.725724028866848e-10	6.147444e-02	-1.812955e-06	-2.949120e-05
4.962107579418034e-10	8.187477e-02	-3.178282e-06	-3.881882e-05
6.198491129969219e-10	1.022751e-01	-4.893195e-06	-4.784347e-05
7.434874680520405e-10	1.226754e-01	-6.939155e-06	-5.656515e-05
8.671258231071589e-10	1.430758e-01	-9.297618e-06	-6.498388e-05
1.008554394533644e-09	1.664115e-01	-1.236498e-05	-7.430365e-05
1.149982965960130e-09	1.897472e-01	-1.579589e-05	-8.324705e-05
1.291411537386616e-09	2.130829e-01	-1.956401e-05	-9.181408e-05
1.432840108813102e-09	2.364186e-01	-2.364298e-05	-1.000047e-04
1.574268680239587e-09	2.597543e-01	-2.800646e-05	-1.078190e-04
1.715697251666073e-09	2.830900e-01	-3.262810e-05	-1.152570e-04
1.857125823092558e-09	3.064258e-01	-3.748155e-05	-1.223185e-04
1.935697251662828e-09	3.193900e-01	-4.026458e-05	-1.260671e-04
2.014268680233098e-09	3.323543e-01	-4.308648e-05	-1.296402e-04
2.092840108803368e-09	3.453186e-01	-4.594045e-05	-1.330378e-04
2.171411537373638e-09	3.582829e-01	-4.881964e-05	-1.362600e-04
2.249982965943908e-09	3.712472e-01	-5.171724e-05	-1.393068e-04
2.328554394514177e-09	3.842115e-01	-5.462642e-05	-1.421780e-04
2.407125823084447e-09	3.971758e-01	-5.754036e-05	-1.448738e-04
2.454268680226609e-09	4.049543e-01	-5.927487e-05	-1.463742e-04
2.501411537368771e-09	4.127329e-01	-6.098758e-05	-1.477653e-04
2.548554394510933e-09	4.205115e-01	-6.267595e-05	-1.490469e-04
2.595697251653095e-09	4.282900e-01	-6.433741e-05	-1.502193e-04
2.642840108795256e-09	4.360686e-01	-6.596942e-05	-1.512822e-04
2.689982965937418e-09	4.438472e-01	-6.756943e-05	-1.522358e-04
2.737125823079580e-09	4.516258e-01	-6.913488e-05	-1.530800e-04
2.762840108793487e-09	4.558686e-01	-6.996492e-05	-1.534761e-04
2.788554394507393e-09	4.601115e-01	-7.077590e-05	-1.538234e-04
2.814268680221300e-09	4.643543e-01	-7.156719e-05	-1.541220e-04
2.839982965935206e-09	4.685972e-01	-7.233819e-05	-1.543718e-04
2.865697251649113e-09	4.728400e-01	-7.308826e-05	-1.545729e-04
2.891411537363019e-09	4.770829e-01	-7.381678e-05	-1.547253e-04
2.917125823076926e-09	4.813258e-01	-7.452314e-05	-1.548289e-04
2.927125823076778e-09	4.829758e-01	-7.478971e-05	-1.548519e-04
2.937125823076631e-09	4.846258e-01	-7.505212e-05	-1.548661e-04
2.947125823076483e-09	4.862758e-01	-7.531025e-05	-1.548715e-04
2.957125823076336e-09	4.879258e-01	-7.556400e-05	-1.548678e-04
2.967125823076188e-09	4.895758e-01	-7.581321e-05	-1.548549e-04
2.977125823076041e-09	4.912257e-01	-7.605777e-05	-1.548326e-04
2.987125823075893e-09	4.928758e-01	-7.629756e-05	-1.548008e-04
3.007125823075598e-09	4.961758e-01	-7.676227e-05	-1.547078e-04
3.027125823075303e-09	4.994757e-01	-7.720623e-05	-1.545745e-04
3.057125823074861e-09	5.044258e-01	-7.783079e-05	-1.542958e-04
3.087125823074418e-09	5.093758e-01	-7.840201e-05	-1.539178e-04
3.117125823073976e-09	5.143257e-01	-7.891558e-05	-1.534350e-04
3.149982965930634e-09	5.197472e-01	-7.941927e-05	-1.528037e-04
3.182840108787292e-09	5.251686e-01	-7.982926e-05	-1.520069e-04
3.215697251643951e-09	5.305900e-01	-8.014287e-05	-1.510448e-04
3.248554394500609e-09	5.360115e-01	-8.035740e-05	-1.499173e-04
3.281411537357268e-09	5.414329e-01	-8.047016e-05	-1.486244e-04
3.314268680213926e-09	5.468543e-01	-8.047847e-05	-1.471662e-04
3.347125823070584e-09	5.522758e-01	-8.037963e-05	-1.455426e-04
3.385697251641444e-09	5.586400e-01	-8.011446e-05	-1.434098e-04
3.424268680212303e-09	5.650043e-01	-7.961402e-05	-1.409087e-04
3.462840108783163e-09	5.713686e-01	-7.887125e-05	-1.380392e-04
3.501411537354023e-09	5.777329e-01	-7.787913e-05	-1.348013e-04
3.539982965924883e-09	5.840972e-01	-7.663063e-05	-1.311950e-04
3.578554394495742e-09	5.904615e-01	-7.511870e-05	-1.272203e-04
3.617125823066602e-09	5.968258e-01	-7.333632e-05	-1.228773e-04
3.658554394494563e-09	6.036615e-01	-7.108070e-05	-1.177493e-04
3.699982965922523e-09	6.104972e-01	-6.830537e-05	-1.118848e-04
3.741411537350483e-09	6.173329e-01	-6.499521e-05	-1.052839e-04
3.782840108778444e-09	6.241686e-01	-6.113515e-05	-9.794652e-05
3.824268680206405e-09	6.310043e-01	-5.671006e-05	-8.987269e-05
3.865697251634365e-09	6.378400e-01	-5.170485e-05	-8.106241e-05
3.907125823062325e-09	6.446757e-01	-4.610441e-05	-7.151566e-05
3.932840108776231e-09	6.489186e-01	-4.222160e-05	-6.506455e-05
3.958554394490138e-09	6.531615e-01	-3.799007e-05	-5.816337e-05
3.984268680204044e-09	6.574043e-01	-3.340411e-05	-5.081212e-05
4.009982965917951e-09	6.616472e-01	-2.845798e-05	-4.301081e-05
4.035697251631858e-09	6.658900e-01	-2.314596e-05	-3.475943e-05
4.061411537345764e-09	6.701329e-01	-1.746231e-05	-2.605798e-05
4.087125823059670e-09	6.743758e-01	-1.140131e-05	-1.690647e-05
4.097125823059523e-09	6.760257e-01	-8.910795e-06	-1.318115e-05
4.107125823059376e-09	6.776758e-01	-6.351859e-06	-9.373005e-06
4.117125823059228e-09	6.793258e-01	-3.722956e-06	-5.480369e-06
4.127125823059081e-09	6.809757e-01	-1.022510e-06	-1.501536e-06
4.137125823058933e-09	6.826258e-01	1.751092e-06	2.565230e-06
4.147125823058786e-09	6.842757e-01	4.599499e-06	6.721703e-06
4.157125823058638e-09	6.859258e-01	7.524394e-06	1.096969e-05
4.167125823058491e-09	6.875758e-01	1.052750e-05	1.531104e-05
4.187125823058196e-09	6.908758e-01	1.677542e-05	2.428139e-05
4.207125823057901e-09	6.941758e-01	2.335781e-05	3.364827e-05
4.227125823057606e-09	6.974757e-01	3.028987e-05	4.342785e-05
4.257125823057163e-09	7.024258e-01	4.137850e-05	5.890800e-05
4.287125823056721e-09	7.073758e-01	5.334634e-05	7.541443e-05
4.317125823056278e-09	7.123258e-01	6.625381e-05	9.301055e-05
4.347125823055836e-09	7.172757e-01	8.016536e-05	1.117637e-04
4.379982965912495e-09	7.226972e-01	9.642130e-05	1.334187e-04
4.412840108769152e-09	7.281186e-01	1.142686e-04	1.569368e-04
4.445697251625811e-09	7.335400e-01	1.337375e-04	1.823179e-04
4.478554394482469e-09	7.389615e-01	1.548583e-04	2.095621e-04
4.511411537339128e-09	7.443829e-01	1.776614e-04	2.386694e-04
4.544268680195786e-09	7.498043e-01	2.021770e-04	2.696397e-04
4.577125823052444e-09	7.552258e-01	2.284354e-04	3.024731e-04
4.615697251623304e-09	7.615900e-01	2.616750e-04	3.435903e-04
4.654268680194163e-09	7.679543e-01	2.986899e-04	3.889423e-04
4.692840108765023e-09	7.743186e-01	3.395612e-04	4.385290e-04
4.731411537335883e-09	7.806829e-01	3.843695e-04	4.923504e-04
4.769982965906743e-09	7.870472e-01	4.331959e-04	5.504065e-04
4.808554394477602e-09	7.934115e-01	4.861210e-04	6.126973e-04
4.847125823048462e-09	7.997758e-01	5.432259e-04	6.792228e-04
4.888554394476422e-09	8.066115e-01	6.098351e-04	7.560457e-04
4.929982965904383e-09	8.134472e-01	6.844211e-04	8.413835e-04
4.971411537332343e-09	8.202829e-01	7.671583e-04	9.352362e-04
5.012840108760304e-09	8.271186e-01	8.582215e-04	1.037604e-03
5.054268680188265e-09	8.339543e-01	9.577852e-04	1.148486e-03
5.095697251616225e-09	8.407900e-01	1.066024e-03	1.267884e-03
5.137125823044185e-09	8.476257e-01	1.183113e-03	1.395796e-03
5.181411537329246e-09	8.549329e-01	1.319431e-03	1.543315e-03
5.225697251614308e-09	8.622400e-01	1.472978e-03	1.708315e-03
5.269982965899369e-09	8.695472e-01	1.644138e-03	1.890798e-03
5.314268680184430e-09	8.768543e-01	1.833294e-03	2.090763e-03
5.358554394469491e-09	8.841615e-01	2.040830e-03	2.308209e-03
5.402840108754552e-09	8.914686e-01	2.267128e-03	2.543138e-03
5.447125823039613e-09	8.987758e-01	2.512571e-03	2.795548e-03
5.492840108753225e-09	9.063186e-01	2.789421e-03	3.077749e-03
5.538554394466836e-09	9.138615e-01	3.101369e-03	3.393697e-03
5.584268680180448e-09	9.214044e-01	3.449178e-03	3.743392e-03
5.629982965894060e-09	9.289472e-01	3.833613e-03	4.126836e-03
5.675697251607671e-09	9.364901e-01	4.255436e-03	4.544027e-03
5.721411537321283e-09	9.440329e-01	4.715412e-03	4.994966e-03
5.767125823034894e-09	9.515758e-01	5.214304e-03	5.479652e-03
5.812840108748505e-09	9.591186e-01	5.760048e-03	6.005563e-03
5.858554394462117e-09	9.666614e-01	6.370808e-03	6.590527e-03
5.904268680175729e-09	9.742043e-01	7.047923e-03	7.234543e-03
5.949982965889340e-09	9.817472e-01	7.792728e-03	7.937612e-03
5.995697251602952e-09	9.892900e-01	8.606560e-03	8.699734e-03
6.041411537316563e-09	9.968329e-01	9.490754e-03	9.520908e-03
6.087125823030175e-09	1.004376e+00	1.044665e-02	1.040113e-02
6.134268680172336e-09	1.012154e+00	1.152411e-02	1.138572e-02
6.181411537314498e-09	1.019933e+00	1.271912e-02	1.247055e-02
6.228554394456660e-09	1.027711e+00	1.403403e-02	1.365561e-02
6.275697251598822e-09	1.035490e+00	1.547117e-02	1.494091e-02
6.322840108740984e-09	1.043269e+00	1.703288e-02	1.632646e-02
6.369982965883146e-09	1.051047e+00	1.872150e-02	1.781224e-02
6.417125823025308e-09	1.058826e+00	2.053937e-02	1.939826e-02
6.435697251596463e-09	1.061890e+00	2.130169e-02	2.006016e-02
6.454268680167617e-09	1.064954e+00	2.208825e-02	2.074103e-02
6.472840108738772e-09	1.068019e+00	2.289923e-02	2.144085e-02
6.491411537309927e-09	1.071083e+00	2.373481e-02	2.215964e-02
6.509982965881082e-09	1.074147e+00	2.459517e-02	2.289739e-02
6.528554394452236e-09	1.077211e+00	2.548047e-02	2.365410e-02
6.547125823023391e-09	1.080276e+00	2.639089e-02	2.442978e-02
6.557125823023243e-09	1.081926e+00	2.689409e-02	2.485761e-02
6.577125823022948e-09	1.085226e+00	2.794369e-02	2.574920e-02
6.604268680165405e-09	1.089704e+00	2.950225e-02	2.707363e-02
6.631411537307862e-09	1.094183e+00	3.117195e-02	2.848879e-02
6.658554394450318e-09	1.098661e+00	3.295401e-02	2.999469e-02
6.685697251592776e-09	1.103140e+00	3.484966e-02	3.159133e-02
6.712840108735232e-09	1.107619e+00	3.686012e-02	3.327871e-02
6.739982965877689e-09	1.112097e+00	3.898659e-02	3.505682e-02
6.767125823020146e-09	1.116576e+00	4.123031e-02	3.692567e-02
6.781411537305650e-09	1.118933e+00	4.243671e-02	3.792606e-02
6.795697251591153e-09	1.121290e+00	4.365329e-02	3.893131e-02
6.809982965876657e-09	1.123647e+00	4.488008e-02	3.994143e-02
6.824268680162160e-09	1.126004e+00	4.611712e-02	4.095643e-02
6.838554394447664e-09	1.128362e+00	4.736443e-02	4.197629e-02
6.852840108733167e-09	1.130719e+00	4.862206e-02	4.300103e-02
6.867125823018671e-09	1.133076e+00	4.989004e-02	4.403063e-02
6.897125823018229e-09	1.138026e+00	5.252098e-02	4.615096e-02
6.917125823017934e-09	1.141326e+00	5.424481e-02	4.752790e-02
6.927125823017786e-09	1.142976e+00	5.501190e-02	4.813042e-02
6.937125823017639e-09	1.144626e+00	5.572973e-02	4.868817e-02
6.947125823017491e-09	1.146276e+00	5.648471e-02	4.927672e-02
6.955158898803034e-09	1.147601e+00	5.694190e-02	4.961819e-02
6.963376027100205e-09	1.148957e+00	5.720789e-02	4.979115e-02
6.968260908822469e-09	1.149763e+00	5.725158e-02	4.979424e-02
6.974340017864966e-09	1.150766e+00	5.723004e-02	4.973212e-02
6.980543787299269e-09	1.151790e+00	5.731813e-02	4.976440e-02
6.987999301131945e-09	1.153020e+00	5.748748e-02	4.985819e-02
6.995301136535250e-09	1.154225e+00	5.760495e-02	4.990792e-02
7.004283227443244e-09	1.155707e+00	5.771032e-02	4.993509e-02
7.014283227443097e-09	1.157357e+00	5.780448e-02	4.994525e-02
7.024283227442949e-09	1.159007e+00	5.789167e-02	4.994939e-02
7.034283227442802e-09	1.160657e+00	5.797598e-02	4.995102e-02
7.044283227442654e-09	1.162307e+00	5.805927e-02	4.995176e-02
7.054283227442507e-09	1.163957e+00	5.814233e-02	4.995231e-02
7.064283227442359e-09	1.165607e+00	5.822535e-02	4.995282e-02
7.074283227442212e-09	1.167257e+00	5.830834e-02	4.995332e-02
7.104283227441769e-09	1.172207e+00	5.855726e-02	4.995472e-02
7.138568941726978e-09	1.177864e+00	5.884161e-02	4.995621e-02
7.172854656012187e-09	1.183521e+00	5.912589e-02	4.995761e-02
7.207140370297396e-09	1.189178e+00	5.941008e-02	4.995894e-02
7.241426084582604e-09	1.194835e+00	5.969420e-02	4.996019e-02
7.275711798867812e-09	1.200492e+00	5.997824e-02	4.996136e-02
7.309997513153021e-09	1.206150e+00	6.026220e-02	4.996246e-02
7.344283227438230e-09	1.211807e+00	6.054608e-02	4.996347e-02
7.388568941723291e-09	1.219114e+00	6.091267e-02	4.996471e-02
7.432854656008352e-09	1.226421e+00	6.127920e-02	4.996588e-02
7.477140370293413e-09	1.233728e+00	6.164567e-02	4.996698e-02
7.521426084578475e-09	1.241035e+00	6.201207e-02	4.996802e-02
7.565711798863535e-09	1.248342e+00	6.237841e-02	4.996899e-02
7.609997513148598e-09	1.255650e+00	6.274468e-02	4.996989e-02
7.654283227433658e-09	1.262957e+00	6.311087e-02	4.997073e-02
7.709997513147123e-09	1.272150e+00	6.357151e-02	4.997172e-02
7.765711798860586e-09	1.281342e+00	6.403209e-02	4.997266e-02
7.821426084574051e-09	1.290535e+00	6.449263e-02	4.997355e-02
7.877140370287514e-09	1.299728e+00	6.495311e-02	4.997438e-02
7.932854656000978e-09	1.308921e+00	6.541354e-02	4.997516e-02
7.988568941714443e-09	1.318114e+00	6.587391e-02	4.997589e-02
8.044283227427906e-09	1.327307e+00	6.633423e-02	4.997656e-02
8.114283227426874e-09	1.338857e+00	6.691253e-02	4.997736e-02
8.184283227425842e-09	1.350407e+00	6.749078e-02	4.997811e-02
8.254283227424809e-09	1.361957e+00	6.806900e-02	4.997883e-02
8.324283227423777e-09	1.373507e+00	6.864717e-02	4.997949e-02
