time	V(out)	V(vin)
8.275000000001094e-04	-1.469397e-02	1.883758e-01
8.315000000001099e-04	1.964981e-03	1.871735e-01
8.355000000001105e-04	1.858582e-02	1.859158e-01
8.395000000001110e-04	3.516857e-02	1.846027e-01
8.435000000001115e-04	5.171321e-02	1.832341e-01
8.523571428572555e-04	8.825087e-02	1.799928e-01
8.612142857143996e-04	1.241001e-01	1.765326e-01
8.700714285715436e-04	1.592609e-01	1.728535e-01
8.789285714286876e-04	1.937332e-01	1.689555e-01
8.877857142858317e-04	2.275171e-01	1.648386e-01
8.966428571429757e-04	2.606125e-01	1.605029e-01
9.055000000001198e-04	2.930195e-01	1.559482e-01
9.157857142858354e-04	3.293879e-01	1.504166e-01
9.260714285715511e-04	3.640926e-01	1.447355e-01
9.363571428572667e-04	3.971336e-01	1.389052e-01
9.466428571429824e-04	4.285111e-01	1.329254e-01
9.569285714286980e-04	4.582249e-01	1.267964e-01
9.672142857144137e-04	4.862750e-01	1.205179e-01
9.775000000001293e-04	5.126616e-01	1.140901e-01
9.835000000001301e-04	5.270738e-01	1.103353e-01
9.895000000001309e-04	5.407954e-01	1.065792e-01
9.955000000001317e-04	5.538262e-01	1.028217e-01
1.001500000000132e-03	5.661663e-01	9.906289e-02
1.007500000000133e-03	5.778157e-01	9.530274e-02
1.013500000000134e-03	5.887744e-01	9.154125e-02
1.019500000000135e-03	5.990424e-01	8.777842e-02
1.020500000000135e-03	6.006800e-01	8.715506e-02
1.031214285714422e-03	6.170557e-01	8.044119e-02
1.041928571428709e-03	6.309893e-01	7.388800e-02
1.052642857142996e-03	6.424808e-01	6.749547e-02
1.063357142857284e-03	6.515301e-01	6.126362e-02
1.074071428571571e-03	6.581373e-01	5.519244e-02
1.084785714285858e-03	6.623023e-01	4.928194e-02
1.095500000000145e-03	6.640252e-01	4.353210e-02
1.106071428571575e-03	6.631925e-01	3.812803e-02
1.116642857143005e-03	6.597226e-01	3.304861e-02
1.127214285714435e-03	6.536155e-01	2.829382e-02
1.137785714285865e-03	6.448714e-01	2.386368e-02
1.148357142857295e-03	6.334900e-01	1.975818e-02
1.158928571428725e-03	6.194716e-01	1.597733e-02
1.169500000000155e-03	6.028160e-01	1.252111e-02
1.178500000000156e-03	5.863715e-01	9.907842e-03
1.187500000000157e-03	5.679856e-01	7.598176e-03
1.196500000000158e-03	5.476581e-01	5.592114e-03
1.205500000000160e-03	5.253891e-01	3.889656e-03
1.214500000000161e-03	5.011786e-01	2.490802e-03
1.223500000000162e-03	4.750266e-01	1.395551e-03
1.232500000000163e-03	4.469331e-01	6.039045e-04
1.242214285714450e-03	4.143251e-01	1.239434e-04
1.251928571428737e-03	3.800303e-01	1.292144e-05
1.261642857143024e-03	3.440487e-01	2.708386e-04
1.271357142857311e-03	3.063803e-01	8.976948e-04
1.281071428571598e-03	2.670251e-01	1.893490e-03
