Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.0002,,,Horizontal Scale,0.0002
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,2e-07,,,Sample Interval,2e-07
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,10,0.01,,Probe Attenuation,1
Vertical Units,V,A,,Vertical Units,W
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,1,0.01,,Vertical Scale,0.2
Vertical Position,-0.02,-0.02,,Vertical Position,-0.0961381
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH1*CH2>"
-9.8540e-04,2.41844,-0.0200422,,-9.8540e-04,-0.0484911
-9.8520e-04,2.41125,-0.0199875,,-9.8520e-04,-0.0483974
-9.8500e-04,2.41781,-0.0200313,,-9.8500e-04,-0.0484599
-9.8480e-04,2.41359,-0.0201156,,-9.8480e-04,-0.0485224
-9.8460e-04,2.41188,-0.0200563,,-9.8460e-04,-0.0483036
-9.8440e-04,2.41797,-0.0201313,,-9.8440e-04,-0.0483661
-9.8420e-04,2.41812,-0.0200563,,-9.8420e-04,-0.0482411
-9.8400e-04,2.41172,-0.0201766,,-9.8400e-04,-0.0484911
-9.8380e-04,2.40672,-0.0200875,,-9.8380e-04,-0.0484286
-9.8360e-04,2.40672,-0.0200688,,-9.8360e-04,-0.0484286
-9.8340e-04,2.40687,-0.0200906,,-9.8340e-04,-0.0484911
-9.8320e-04,2.40906,-0.0201219,,-9.8320e-04,-0.0485849
-9.8300e-04,2.40687,-0.0200688,,-9.8300e-04,-0.0484911
-9.8280e-04,2.41219,-0.0200891,,-9.8280e-04,-0.0482724
-9.8260e-04,2.41063,-0.0200719,,-9.8260e-04,-0.0483661
-9.8240e-04,2.41312,-0.0200797,,-9.8240e-04,-0.0484599
-9.8220e-04,2.41047,-0.0200641,,-9.8220e-04,-0.0485849
-9.8200e-04,2.40344,-0.0200375,,-9.8200e-04,-0.0482724
-9.8180e-04,2.40656,-0.0200438,,-9.8180e-04,-0.0483036
-9.8160e-04,2.40859,-0.0200594,,-9.8160e-04,-0.0485224
-9.8140e-04,2.41047,-0.0200875,,-9.8140e-04,-0.0485536
-9.8120e-04,2.40563,-0.0200453,,-9.8120e-04,-0.0482724
-9.8100e-04,2.41016,-0.0200375,,-9.8100e-04,-0.0483974
-9.8080e-04,2.405,-0.0201,,-9.8080e-04,-0.0483661
