uin1	V(uout1)	V(uout2)	abs(D(V(uout1)-V(uout2))/D(uin1))
-7.399999999999993e-02	9.405067e+00	6.713771e-01	4.276726e+01
-7.299999999999993e-02	9.383284e+00	6.930702e-01	4.420584e+01
-7.199999999999993e-02	9.360769e+00	7.154906e-01	4.568297e+01
-7.099999999999992e-02	9.337505e+00	7.386578e-01	4.719928e+01
-6.999999999999992e-02	9.313472e+00	7.625917e-01	4.875597e+01
-6.899999999999992e-02	9.288648e+00	7.873121e-01	5.035269e+01
-6.799999999999992e-02	9.263014e+00	8.128391e-01	5.198953e+01
-6.699999999999992e-02	9.236549e+00	8.391929e-01	5.366710e+01
-6.599999999999992e-02	9.209234e+00	8.663937e-01	5.538499e+01
-6.499999999999992e-02	9.181048e+00	8.944619e-01	5.714372e+01
-6.399999999999992e-02	9.151971e+00	9.234177e-01	5.894321e+01
-6.299999999999992e-02	9.121982e+00	9.532815e-01	6.078345e+01
-6.199999999999992e-02	9.091060e+00	9.840735e-01	6.266391e+01
-6.099999999999992e-02	9.059186e+00	1.015814e+00	6.458446e+01
-5.999999999999991e-02	9.026340e+00	1.048522e+00	6.654537e+01
-5.899999999999991e-02	8.992500e+00	1.082219e+00	6.854498e+01
-5.799999999999991e-02	8.957650e+00	1.116923e+00	7.058406e+01
-5.699999999999991e-02	8.921767e+00	1.152654e+00	7.266128e+01
-5.599999999999991e-02	8.884835e+00	1.189430e+00	7.477576e+01
-5.499999999999991e-02	8.846833e+00	1.227271e+00	7.692707e+01
-5.399999999999991e-02	8.807745e+00	1.266194e+00	7.911384e+01
-5.299999999999991e-02	8.767551e+00	1.306217e+00	8.133548e+01
-5.199999999999991e-02	8.726236e+00	1.347357e+00	8.358997e+01
-5.099999999999991e-02	8.683784e+00	1.389629e+00	8.587658e+01
-4.999999999999991e-02	8.640177e+00	1.433050e+00	8.819419e+01
-4.899999999999990e-02	8.595401e+00	1.477635e+00	9.054053e+01
-4.799999999999990e-02	8.549442e+00	1.523397e+00	9.291375e+01
-4.699999999999990e-02	8.502288e+00	1.570349e+00	9.531260e+01
-4.599999999999990e-02	8.453925e+00	1.618505e+00	9.773487e+01
-4.499999999999990e-02	8.404343e+00	1.667874e+00	1.001787e+02
-4.399999999999990e-02	8.353530e+00	1.718467e+00	1.026411e+02
-4.299999999999990e-02	8.301479e+00	1.770293e+00	1.051198e+02
-4.199999999999990e-02	8.248182e+00	1.823359e+00	1.076131e+02
-4.099999999999990e-02	8.193632e+00	1.877672e+00	1.101178e+02
-3.999999999999990e-02	8.137824e+00	1.933236e+00	1.126306e+02
