Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0004,
Horizontal Delay,0,
Sample Interval,4e-07,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.1,1
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH1,CH2
-2.0000e-03,0.0932344,0.03375
-1.9996e-03,0.0945312,0.034375
-1.9992e-03,0.0943906,0.0242188
-1.9988e-03,0.0944844,0.0304687
-1.9984e-03,0.0949844,0.03
-1.9980e-03,0.0954531,0.0282813
-1.9976e-03,0.09525,0.029375
-1.9972e-03,0.0968438,0.036875
-1.9968e-03,0.0960312,0.0310937
-1.9964e-03,0.0964688,0.0342187
-1.9960e-03,0.0965312,0.0296875
-1.9956e-03,0.0967969,0.0282813
-1.9952e-03,0.0969375,0.0275
-1.9948e-03,0.0977188,0.029375
-1.9944e-03,0.0975312,0.0325
-1.9940e-03,0.0978125,0.0229687
-1.9936e-03,0.098625,0.0290625
-1.9932e-03,0.099,0.026875
-1.9928e-03,0.098875,0.02
-1.9924e-03,0.0999531,0.0265625
-1.9920e-03,0.09975,0.0307812
-1.9916e-03,0.0994844,0.0310937
-1.9912e-03,0.0998906,0.0257813
-1.9908e-03,0.100578,0.025
-1.9904e-03,0.101094,0.0221875
-1.9900e-03,0.101703,0.0323437
-1.9896e-03,0.101062,0.028125
-1.9892e-03,0.101344,0.030625
-1.9888e-03,0.102406,0.0234375
-1.9884e-03,0.102125,0.0275
-1.9880e-03,0.102234,0.0251563
-1.9876e-03,0.102656,0.0215625
-1.9872e-03,0.103063,0.0164063
-1.9868e-03,0.102922,0.0290625
-1.9864e-03,0.103813,0.0432813
-1.9860e-03,0.104156,0.0257813
-1.9856e-03,0.104578,0.0251563
-1.9852e-03,0.105094,0.0307812
-1.9848e-03,0.104375,0.0234375
-1.9844e-03,0.104313,0.0240625
-1.9840e-03,0.105047,0.0203125
-1.9836e-03,0.105516,0.0360938
-1.9832e-03,0.106,0.0278125
-1.9828e-03,0.106281,0.0240625
-1.9824e-03,0.106875,0.0248438
-1.9820e-03,0.106641,0.0214063
-1.9816e-03,0.106938,0.0209375
-1.9812e-03,0.106766,0.0240625
-1.9808e-03,0.107047,0.0157813
-1.9804e-03,0.106969,0.0235938
-1.9800e-03,0.108078,0.0225
-1.9796e-03,0.109266,0.0190625
-1.9792e-03,0.108797,0.0195312
-1.9788e-03,0.109297,0.0225
-1.9784e-03,0.109188,0.0232812
-1.9780e-03,0.109781,0.0207813
-1.9776e-03,0.109953,0.02375
-1.9772e-03,0.110469,0.0240625
-1.9768e-03,0.110906,0.0253125
-1.9764e-03,0.111,0.0278125
-1.9760e-03,0.110969,0.0201563
-1.9756e-03,0.111547,0.0171875
-1.9752e-03,0.111453,0.026875
-1.9748e-03,0.112469,0.020625
-1.9744e-03,0.111391,0.0203125
-1.9740e-03,0.112234,0.0257813
-1.9736e-03,0.113391,0.0239063
-1.9732e-03,0.113016,0.0184375
-1.9728e-03,0.112766,0.020625
-1.9724e-03,0.113141,0.0175
-1.9720e-03,0.1125,0.0154687
