time	V(n002)	V(n003)
1.718039157573677e-03	-7.461472e-01	-7.594258e-02
1.737570407573677e-03	-7.602942e-01	-7.726377e-02
1.757101657573677e-03	-7.628415e-01	-7.742286e-02
1.776632907573677e-03	-7.537507e-01	-7.641743e-02
1.796164157573677e-03	-7.331588e-01	-7.426262e-02
1.815695407573677e-03	-7.013755e-01	-7.099082e-02
1.835226657573677e-03	-6.588790e-01	-6.665125e-02
1.854757907573677e-03	-6.063085e-01	-6.130920e-02
1.874289157573677e-03	-5.444547e-01	-5.504499e-02
1.893820407573677e-03	-4.742479e-01	-4.795285e-02
1.913351657573677e-03	-3.967440e-01	-4.013946e-02
1.932882907573677e-03	-3.131086e-01	-3.172233e-02
1.952414157573677e-03	-2.245995e-01	-2.282807e-02
1.971945407573676e-03	-1.325478e-01	-1.359046e-02
1.991476657573676e-03	-3.833786e-02	-4.148431e-03
2.011007907573675e-03	5.661327e-02	5.355993e-03
2.030539157573675e-03	1.508775e-01	1.477986e-02
2.050070407573675e-03	2.430369e-01	2.398142e-02
2.069601657573674e-03	3.317052e-01	3.282228e-02
2.089132907573674e-03	4.155487e-01	4.116946e-02
2.108664157573673e-03	4.933061e-01	4.889742e-02
2.128195407573673e-03	5.638076e-01	5.588991e-02
2.147726657573673e-03	6.259929e-01	6.204177e-02
2.167257907573672e-03	6.789265e-01	6.726046e-02
2.186789157573672e-03	7.218122e-01	7.146749e-02
2.206320407573671e-03	7.540051e-01	7.459958e-02
2.225851657573671e-03	7.750210e-01	7.660963e-02
2.245382907573670e-03	7.845439e-01	7.746739e-02
2.264914157573670e-03	7.824306e-01	7.715998e-02
2.284445407573670e-03	7.687131e-01	7.569200e-02
2.303976657573669e-03	7.435979e-01	7.308555e-02
2.323507907573669e-03	7.074627e-01	6.937982e-02
2.343039157573668e-03	6.608511e-01	6.463056e-02
2.362570407573668e-03	6.044642e-01	5.890919e-02
2.382101657573668e-03	5.391502e-01	5.230177e-02
2.401632907573667e-03	4.658914e-01	4.490769e-02
2.421164157573667e-03	3.857894e-01	3.683815e-02
2.440695407573666e-03	3.000491e-01	2.821453e-02
2.460226657573666e-03	2.099598e-01	1.916654e-02
2.479757907573665e-03	1.168765e-01	9.830271e-03
2.499289157573665e-03	2.219902e-02	3.461413e-04
2.518820407573665e-03	-7.264853e-02	-9.143194e-03
2.538351657573664e-03	-1.662396e-01	-1.849501e-02
2.557882907573664e-03	-2.571664e-01	-2.756864e-02
2.577414157573663e-03	-3.440612e-01	-3.622761e-02
2.596945407573663e-03	-4.256168e-01	-4.434169e-02
2.616476657573663e-03	-5.006064e-01	-5.178883e-02
2.636007907573662e-03	-5.679021e-01	-5.845701e-02
2.655539157573662e-03	-6.264914e-01	-6.424595e-02
2.675070407573661e-03	-6.754932e-01	-6.906857e-02
2.694601657573661e-03	-7.141705e-01	-7.285233e-02
2.714132907573660e-03	-7.419415e-01	-7.554032e-02
2.733664157573660e-03	-7.583885e-01	-7.709212e-02
2.753195407573660e-03	-7.632644e-01	-7.748438e-02
2.772726657573659e-03	-7.564959e-01	-7.671121e-02
2.792257907573659e-03	-7.381849e-01	-7.478422e-02
2.811789157573658e-03	-7.086069e-01	-7.173241e-02
2.831320407573658e-03	-6.682069e-01	-6.760168e-02
2.850851657573658e-03	-6.175927e-01	-6.245416e-02
2.870382907573657e-03	-5.575254e-01	-5.636727e-02
2.889914157573657e-03	-4.889085e-01	-4.943256e-02
